time,low,high,open,close,volume
1516737660,10985.59,10993.23,10993.23,10985.59,7.203839729999999
1516737600,10952.79,10993.23,10953.85,10993.22,2.46569885
1516737540,10950.0,11020.0,11020.0,10950.0,4.2666803799999995
1516737480,10999.99,11020.0,10999.99,11007.25,5.040450049999999
1516737420,10940.0,11000.0,10940.0,11000.0,16.30757968
1516737360,10939.99,10940.0,10939.99,10940.0,3.6425970100000002
1516737300,10910.84,10940.0,10910.84,10940.0,8.55910497
1516737240,10910.84,10910.85,10910.84,10910.85,4.61356041
1516737180,10901.37,10969.01,10969.0,10910.84,3.810442389999999
1516737120,10970.65,10973.23,10973.22,10970.65,1.98256855
1516737060,10925.99,10980.0,10925.99,10973.23,4.3505819400000005
1516737000,10916.55,10926.0,10925.99,10925.98,9.599255400000002
1516736940,10924.38,10971.01,10971.01,10925.99,11.46246238
1516736880,10971.0,10985.0,10985.0,10971.0,4.948436870000002
1516736820,10970.53,10971.0,10970.54,10971.0,8.00743595
1516736760,10909.1,10970.54,10909.1,10970.54,6.57981649
1516736700,10897.92,10964.99,10964.99,10897.92,6.240301579999997
1516736640,10957.17,11026.57,11026.57,10965.0,8.434099119999999
1516736580,11026.49,11080.31,11080.3,11026.56,3.8639717699999996
1516736520,11080.3,11080.31,11080.31,11080.3,2.5261926399999997
1516736460,11052.42,11110.0,11110.0,11080.3,2.87827323
1516736400,11110.0,11110.49,11110.49,11110.0,2.2633919099999997
1516736340,11101.0,11120.0,11101.0,11115.04,5.156441469999999
1516736280,11100.99,11101.0,11101.0,11100.99,2.8473369600000002
1516736220,11100.01,11101.0,11100.01,11100.99,1.6927660499999997
1516736160,11100.0,11100.01,11100.0,11100.01,1.5857086
1516736100,11100.0,11100.01,11100.01,11100.0,1.8275518800000001
1516736040,11100.0,11113.65,11113.64,11100.0,2.19899203
1516735980,11091.99,11129.99,11112.7,11113.65,4.22580895
1516735920,11104.99,11130.51,11130.51,11130.0,1.4130865799999999
1516735860,11130.5,11130.51,11130.51,11130.5,1.91966905
1516735800,11130.5,11130.6,11130.6,11130.5,6.5339377700000005
1516735740,11130.59,11149.06,11149.05,11130.6,2.34510739
1516735680,11129.99,11149.06,11130.0,11149.06,2.4109369400000005
1516735620,11129.99,11130.0,11130.0,11130.0,1.75437362
1516735560,11129.99,11130.0,11130.0,11129.99,5.16072164
1516735500,11111.0,11130.0,11111.0,11130.0,3.6508796299999995
1516735440,11109.99,11110.0,11109.99,11110.0,1.7357580400000003
1516735380,11108.99,11110.0,11108.99,11110.0,3.7068622999999996
1516735320,11108.99,11109.0,11109.0,11109.0,2.0578252299999997
1516735260,11099.22,11109.0,11099.22,11108.99,3.0459755100000003
1516735200,11069.76,11108.98,11069.76,11099.23,6.349005
1516735140,11089.09,11139.79,11139.79,11089.09,7.938488650000001
1516735080,11134.0,11140.01,11140.0,11139.79,3.42165345
1516735020,11140.0,11150.0,11149.99,11140.01,8.06801132
1516734960,11149.99,11150.0,11150.0,11149.99,8.538910560000001
1516734900,11135.16,11150.0,11135.16,11150.0,10.453081699999997
1516734840,11135.16,11135.17,11135.16,11135.16,3.05522182
1516734780,11130.62,11135.43,11130.62,11135.17,2.5390699899999998
1516734720,11133.5,11147.0,11147.0,11133.5,3.0070510200000005
1516734660,11136.02,11150.0,11136.02,11149.0,2.61219022
1516734600,11136.0,11136.02,11136.01,11136.02,2.71513598
1516734540,11136.0,11155.68,11155.68,11136.01,5.0981359500000005
1516734480,11155.67,11166.59,11166.59,11155.67,3.8509446899999995
1516734420,11169.0,11169.01,11169.01,11169.0,3.4693477199999996
1516734360,11170.0,11170.83,11170.83,11170.0,3.15886362
1516734300,11170.82,11175.0,11175.0,11170.82,2.2861561200000007
1516734240,11175.0,11200.0,11200.0,11175.0,5.0656181899999995
1516734180,11195.12,11209.0,11195.12,11199.99,6.934389100000001
